,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
51,3303,663158,Robert Suarez,3303,2245.0,96.3,96.87,6.77,26.7,57,7.0,6.14,-1.24,44.2,0
52,4680,573204,Caleb Thielbar,4680,2382.0,84.8,84.71,6.28,28.3,85,7.4,6.05,0.43,53.8,0
53,6855,656222,Jalen Beeks,6856,2093.0,89.7,89.77,6.36,21.5,153,8.8,6.05,0.98,48.9,0
54,3777,656234,Jake Bird,3777,2348.0,89.8,89.43,5.82,21.2,92,9.0,5.29,-2.39,18.9,0
55,485,543054,Jarred Cosart,485,2122.0,88.3,88.79,6.52,13.2,19,16.7,5.7,-2.42,,0
56,74,642657,Cristofer Ogando,74,2356.0,87.4,87.02,6.08,11.8,1,5.9,5.76,-2.34,30.4,0
57,119,671162,Connor Thomas,119,2217.0,87.0,86.24,5.83,16.1,2,6.5,5.18,1.23,29.1,0
58,858,681402,Gus Varland,858,2224.0,92.4,92.51,6.38,21.8,22,10.2,5.32,-1.56,45.8,0
59,3140,621249,Duane Underwood Jr.,3141,2040.0,90.0,90.28,6.44,21.6,71,8.6,6.18,-2.15,47.7,0
60,45,622703,Ronald Herrera,45,2027.0,87.0,87.93,6.77,21.4,1,7.1,5.05,-2.03,,0
61,233,518468,Michael Blazek,233,2315.0,90.5,90.3,6.15,11.1,6,9.5,5.82,-1.91,,0
62,1073,571787,David Holmberg,1075,1980.0,83.1,83.73,6.66,12.3,31,11.5,6.16,1.47,,0
63,687,600944,David Paulino,689,2295.0,86.1,85.79,6.22,24.5,9,5.5,6.93,-1.61,56.4,0
64,21,543261,Jason Gurka,21,2616.0,83.5,83.06,5.97,0.0,1,20.0,5.86,2.26,,0
65,2415,457915,Javy Guerra,2417,2086.0,89.1,88.3,5.78,18.2,40,6.3,6.87,-0.65,70.0,0
66,2944,543118,Oliver Drake,2978,1664.0,87.6,87.86,6.42,26.3,61,8.5,6.39,0.7,77.4,0
67,1388,623430,Ryan Dull,1411,2353.0,86.9,85.86,5.57,23.5,28,8.2,5.48,-1.8,,0
68,28,444482,David Peralta,28,1625.0,64.0,62.77,5.27,11.1,0,0.0,6.13,1.75,40.4,0
69,328,681066,Ky Bush,328,2258.0,86.2,86.84,6.8,12.8,15,17.4,6.29,2.32,48.4,1
70,43,571976,Wil Myers,43,1704.0,59.9,57.81,4.3,0.0,0,0.0,6.59,-1.12,31.2,0
71,177,687145,Evan Justice,177,2299.0,91.2,91.65,6.28,18.2,9,20.5,5.26,1.37,31.1,0
72,6,664874,Seby Zavala,6,1418.0,60.0,57.22,4.23,0.0,0,0.0,6.14,-2.5,30.1,0
73,145,697812,Joe Rock,145,2322.0,91.4,92.0,6.77,31.4,2,5.7,5.74,2.17,24.1,0
74,6120,453385,Clayton Richard,6160,2131.0,87.5,85.74,5.31,16.1,130,7.5,5.6,3.15,,0
75,527,688642,Zach Agnos,527,2207.0,91.1,91.04,6.06,13.9,16,11.7,5.89,-1.81,40.1,0
76,408,687931,Carson Whisenhunt,408,2235.0,86.9,87.33,6.67,15.7,12,11.8,6.25,2.17,48.2,0
77,215,593604,Alberto Baldonado,215,2223.0,88.4,88.71,6.46,24.5,7,14.3,6.35,1.57,42.0,0
78,1757,657141,Jordan Yamamoto,1758,2445.0,85.7,85.22,6.0,23.2,44,10.4,5.79,-1.48,39.5,0
79,152,664069,Ben Braymer,152,2044.0,83.6,82.38,5.63,23.5,5,14.7,6.07,2.1,49.3,0
80,2975,407845,Fernando Rodney,3043,1975.0,90.4,89.83,5.93,25.7,78,11.1,6.08,-2.29,,0
81,1743,624647,Victor González,1743,2263.0,90.6,90.5,6.25,20.9,41,8.8,4.85,2.33,23.7,0
82,4410,502179,Paolo Espino,4415,2445.0,82.1,82.11,6.48,18.9,67,5.8,5.69,-1.38,53.1,0
83,15766,519242,Chris Sale,15773,2274.0,87.4,86.83,6.12,34.0,225,5.7,5.21,3.17,11.2,0
84,5703,519293,Will Smith,5708,2234.0,85.8,85.49,6.06,28.6,108,7.4,6.55,1.61,44.7,0
85,80,641645,Luis Guillorme,80,1365.0,63.1,61.92,5.26,0.0,3,10.3,6.46,-1.27,62.2,0
86,1984,518875,Shawn Kelley,2011,2354.0,86.6,86.64,6.16,23.2,26,5.1,5.75,-1.22,,0
87,11,676724,Jared Young,11,1578.0,63.1,61.23,5.1,0.0,1,33.3,6.63,-1.54,40.1,0
88,184,602083,Miguel Almonte,184,2403.0,89.3,88.28,5.74,15.2,5,10.9,5.42,-2.43,,0
89,1778,801403,Chase Dollander,1778,2500.0,92.2,92.08,6.17,18.6,49,11.1,5.39,-2.25,25.8,0
90,2436,656061,Albert Abreu,2436,2140.0,93.4,93.8,6.54,22.3,75,12.5,5.72,-1.9,37.7,0
91,121,642834,Jonathan Bermúdez,121,2174.0,83.4,83.5,6.22,12.1,2,6.1,5.2,1.42,30.5,0
