,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
849,968,674444,Steven Cruz,968,2206.0,94.9,95.79,6.83,21.3,28,10.4,5.54,-3.17,31.7,0
850,3023,543883,Nick Vincent,3030,2365.0,88.1,87.55,5.86,21.7,38,4.6,5.59,-2.78,40.6,0
851,6589,657376,Clarke Schmidt,6591,2780.0,89.1,89.04,6.18,23.0,135,8.1,5.6,-1.48,35.3,1
852,29,460060,Cliff Pennington,29,2107.0,86.7,85.49,5.48,16.7,2,33.3,5.47,-2.02,,0
853,1021,607359,Spencer Patton,1021,1975.0,88.6,88.55,6.27,23.5,23,9.0,5.15,-1.75,33.2,0
854,12,542963,Rob Brantly,12,1626.0,65.7,65.2,5.91,0.0,0,0.0,6.45,-1.19,,0
855,1990,667297,Tommy Nance,1990,2602.0,89.8,89.5,6.21,25.7,45,8.4,6.24,-1.21,45.0,0
856,18154,506433,Yu Darvish,18172,2518.0,88.0,88.07,6.34,27.3,308,6.7,5.61,-2.18,41.1,0
857,12660,452657,Jon Lester,12683,2238.0,86.6,86.66,6.24,19.8,238,7.5,5.69,2.76,38.9,0
858,10387,657746,Joe Ryan,10387,2206.0,89.0,89.33,6.56,27.6,148,5.7,4.91,-2.51,26.2,0
859,26,640461,Chad Pinder,26,1660.0,65.8,64.54,5.49,0.0,2,28.6,5.46,-2.56,21.5,0
860,4247,453284,Blake Parker,4262,1769.0,86.4,86.96,6.57,27.2,76,7.4,6.38,-0.61,46.3,0
861,16661,579328,Yusei Kikuchi,16756,2232.0,89.7,90.47,6.74,23.9,350,8.3,5.55,2.29,42.6,0
862,2713,657649,Jared Koenig,2713,2283.0,90.1,89.99,6.29,21.7,53,7.5,5.92,2.51,32.8,0
863,90,543357,Jordan Jankowski,90,2256.0,87.4,86.75,5.84,22.7,2,9.1,5.95,-1.76,,0
864,6589,657376,Clarke Schmidt,6591,2780.0,89.1,89.04,6.18,23.0,135,8.1,5.6,-1.48,35.3,1
865,4607,607219,Sal Romano,4658,2128.0,91.9,91.14,5.86,17.2,96,8.0,6.66,-2.0,36.1,0
866,233,518468,Michael Blazek,233,2315.0,90.5,90.3,6.15,11.1,6,9.5,5.82,-1.91,,0
867,1411,666619,Gregory Santos,1411,2454.0,94.2,94.86,6.58,20.1,28,7.3,5.92,-1.48,35.2,1
868,1092,643617,Zac Reininger,1092,2360.0,89.3,88.94,6.03,14.1,25,8.8,5.9,-2.48,,0
869,1054,668665,Stephen Nogosek,1055,2255.0,90.3,90.21,6.3,22.0,23,8.9,5.95,-2.07,50.9,0
870,248,592831,Konner Wade,248,2071.0,86.4,84.96,5.33,17.5,4,6.3,5.98,-1.56,30.1,0
871,54,664744,Jose Espada,54,2027.0,89.8,89.36,6.2,42.9,2,14.3,6.38,-1.55,52.3,0
872,3327,592879,Asher Wojciechowski,3330,2204.0,87.6,87.95,6.54,21.7,63,7.7,5.63,-1.59,37.6,0
873,1321,592804,Tyler Thornburg,1321,2372.0,87.7,87.23,6.09,21.5,36,11.5,5.95,-1.69,54.1,0
874,24208,605400,Aaron Nola,24211,2201.0,86.8,87.36,6.72,27.0,389,6.3,5.02,-1.94,21.3,0
